File,Line,Sentiment,SentimentScore
joebidencomprehend.csv,17,POSITIVE,"{'Mixed': 0.2445032000541687, 'Negative': 0.05831381678581238, 'Neutral': 0.31765472888946533, 'Positive': 0.3795282542705536}"
joebidencomprehend.csv,21,NEUTRAL,"{'Mixed': 0.002572311321273446, 'Negative': 0.04218800365924835, 'Neutral': 0.9485254287719727, 'Positive': 0.006714295130223036}"
joebidencomprehend.csv,22,NEGATIVE,"{'Mixed': 0.00018940675363410264, 'Negative': 0.6308392286300659, 'Neutral': 0.3682468831539154, 'Positive': 0.00072451401501894}"
joebidencomprehend.csv,29,NEUTRAL,"{'Mixed': 0.03257662057876587, 'Negative': 0.007233238313347101, 'Neutral': 0.9515151381492615, 'Positive': 0.008675040677189827}"
joebidencomprehend.csv,30,NEUTRAL,"{'Mixed': 0.0066413795575499535, 'Negative': 0.09910780191421509, 'Neutral': 0.8913121223449707, 'Positive': 0.0029386382084339857}"
joebidencomprehend.csv,32,NEUTRAL,"{'Mixed': 0.01844717003405094, 'Negative': 0.022036494687199593, 'Neutral': 0.9045398831367493, 'Positive': 0.0549764558672905}"
joebidencomprehend.csv,38,NEUTRAL,"{'Mixed': 0.0007287560729309916, 'Negative': 0.034416500478982925, 'Neutral': 0.9641954898834229, 'Positive': 0.0006592649733647704}"
joebidencomprehend.csv,40,NEUTRAL,"{'Mixed': 0.1374828964471817, 'Negative': 0.04929226636886597, 'Neutral': 0.760132908821106, 'Positive': 0.053091831505298615}"
joebidencomprehend.csv,47,NEUTRAL,"{'Mixed': 0.0363256074488163, 'Negative': 0.06292558461427689, 'Neutral': 0.806522011756897, 'Positive': 0.0942268893122673}"
joebidencomprehend.csv,50,MIXED,"{'Mixed': 0.6470897793769836, 'Negative': 0.03367752954363823, 'Neutral': 0.2740766108036041, 'Positive': 0.04515605419874191}"
joebidencomprehend.csv,52,NEUTRAL,"{'Mixed': 0.007598616648465395, 'Negative': 0.001004944322630763, 'Neutral': 0.9694609642028809, 'Positive': 0.021935464814305305}"
joebidencomprehend.csv,53,NEGATIVE,"{'Mixed': 0.0036073855590075254, 'Negative': 0.6100659370422363, 'Neutral': 0.38459712266921997, 'Positive': 0.0017295307479798794}"
joebidencomprehend.csv,70,NEUTRAL,"{'Mixed': 0.11644719541072845, 'Negative': 0.07677879184484482, 'Neutral': 0.6812486052513123, 'Positive': 0.1255253404378891}"
joebidencomprehend.csv,73,NEUTRAL,"{'Mixed': 0.001217877259477973, 'Negative': 0.17588691413402557, 'Neutral': 0.7765985727310181, 'Positive': 0.04629664868116379}"
joebidencomprehend.csv,74,NEGATIVE,"{'Mixed': 0.09316892921924591, 'Negative': 0.5930265188217163, 'Neutral': 0.1158180683851242, 'Positive': 0.19798643887043}"
joebidencomprehend.csv,76,NEUTRAL,"{'Mixed': 0.022458240389823914, 'Negative': 0.09342345595359802, 'Neutral': 0.8511798977851868, 'Positive': 0.03293837606906891}"
joebidencomprehend.csv,79,NEUTRAL,"{'Mixed': 0.06907665729522705, 'Negative': 0.3570595383644104, 'Neutral': 0.5615333318710327, 'Positive': 0.012330539524555206}"
joebidencomprehend.csv,80,NEGATIVE,"{'Mixed': 0.10201610624790192, 'Negative': 0.5247520804405212, 'Neutral': 0.3127041161060333, 'Positive': 0.06052769720554352}"
joebidencomprehend.csv,81,NEUTRAL,"{'Mixed': 0.002047840040177107, 'Negative': 0.11471419036388397, 'Neutral': 0.8536591529846191, 'Positive': 0.029578810557723045}"
joebidencomprehend.csv,83,NEUTRAL,"{'Mixed': 0.39222827553749084, 'Negative': 0.1604517698287964, 'Neutral': 0.39949753880500793, 'Positive': 0.04782240465283394}"
joebidencomprehend.csv,87,NEUTRAL,"{'Mixed': 0.0003235348267480731, 'Negative': 0.2560834586620331, 'Neutral': 0.7407623529434204, 'Positive': 0.002830617595463991}"
joebidencomprehend.csv,89,NEUTRAL,"{'Mixed': 0.00021349221060518175, 'Negative': 0.13729439675807953, 'Neutral': 0.8593974709510803, 'Positive': 0.0030945877078920603}"
joebidencomprehend.csv,91,NEUTRAL,"{'Mixed': 0.0009408428450115025, 'Negative': 0.11974423378705978, 'Neutral': 0.8726043105125427, 'Positive': 0.006710592191666365}"
joebidencomprehend.csv,93,NEUTRAL,"{'Mixed': 0.0013393106637522578, 'Negative': 0.0019065618980675936, 'Neutral': 0.975846529006958, 'Positive': 0.020907605066895485}"
joebidencomprehend.csv,98,NEUTRAL,"{'Mixed': 0.0002646161010488868, 'Negative': 0.002332902979105711, 'Neutral': 0.9946289658546448, 'Positive': 0.0027735275216400623}"
joebidencomprehend.csv,99,NEUTRAL,"{'Mixed': 0.05748904123902321, 'Negative': 0.28587526082992554, 'Neutral': 0.6495088338851929, 'Positive': 0.007126862648874521}"
joebidencomprehend.csv,104,NEUTRAL,"{'Mixed': 0.0363256074488163, 'Negative': 0.06292558461427689, 'Neutral': 0.806522011756897, 'Positive': 0.0942268893122673}"
